data_file,multiplier,mean_kmp,std_error_kmp,mean_brute_force,std_error_brute_force,t_stat,p_value
exon1_sequence,1,0.000006514,0.000000035,0.000006642,0.000000005,-3.660016490,0.000264939
whole_gene_sequence,1,0.001094719,0.000006081,0.001095699,0.000004868,-0.125754462,0.899939547
